State_Name,Region
Alabama,Southeast
Arizona,South Central
Arkansas,Southeast
California,West
Colorado,North Central
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Florida,Florida
Georgia,Southeast
Idaho,Northwest
Illinois,Upper Midwest
Indiana,Upper Midwest
Iowa,Upper Midwest
Kansas,North Central
Kentucky,Southeast
Louisiana,Southeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
Michigan,Upper Midwest
Minnesota,Upper Midwest
Mississippi,Southeast
Missouri,Upper Midwest
Montana,North Central
Nebraska,North Central
Nevada,West
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,South Central
New York,Northeast
North Carolina,Southeast
North Dakota,North Central
Ohio,Upper Midwest
Oklahoma,South Central
Oregon,Northwest
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,Southeast
South Dakota,North Central
Tennessee,Southeast
Texas,South Central
Utah,North Central
Vermont,Northeast
Virginia,Northeast
Washington,Northwest
West Virginia,Northeast
Wisconsin,Upper Midwest
Wyoming,North Central
